City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,fuyang,32.9,115.8167,25.87,40,100,1.77,CN,1698212624
195,caibarien,22.5206,-79.4669,22.62,78,22,8.87,CU,1698212875
196,praia da vitoria,38.7333,-27.0667,21.14,83,20,5.52,PT,1698212876
197,maceio,-9.6658,-35.7353,23.69,94,75,1.54,BR,1698212654
198,port alfred,-33.5906,26.891,17.88,71,36,1.79,ZA,1698212625
199,fort st. john,56.2499,-120.8529,-10.06,67,0,2.57,CA,1698212625
200,port lincoln,-34.7333,135.8667,13.15,46,62,9.66,AU,1698212876
201,puerto aysen,-45.4,-72.7,7.42,98,86,1.97,CL,1698212625
202,tamandare,-8.7597,-35.1047,24.37,77,40,2.95,BR,1698212876
203,christchurch,-43.5333,172.6333,17.52,68,30,6.69,NZ,1698212871
204,cove,7.221,2.3402,22.57,91,100,1.57,BJ,1698212876
205,alice springs,-23.7,133.8833,24.75,20,77,7.72,AU,1698212877
206,bonthe,7.5264,-12.505,23.6,96,100,0.91,SL,1698212625
207,lincoln city,44.9582,-124.0179,10.94,92,100,5.36,US,1698212877
208,greenville,35.6127,-77.3663,10.63,99,100,0.0,US,1698212877
209,newman,37.3138,-121.0208,17.25,78,15,2.41,US,1698212626
210,rawson,-43.3002,-65.1023,11.24,75,9,4.28,AR,1698212626
211,ola,59.5833,151.2833,-0.51,82,46,3.69,RU,1698212626
212,codrington,-38.2667,141.9667,11.91,48,28,9.04,AU,1698212626
213,cadale,2.7603,46.3222,28.79,74,22,5.05,SO,1698212877
214,port augusta,-32.5,137.7667,17.05,36,51,10.82,AU,1698212626
215,salyan,39.5936,48.9805,20.19,50,76,6.37,AZ,1698212878
216,urangan,-25.3,152.9,23.37,74,0,5.89,AU,1698212878
217,namie,37.4833,141.0,20.3,80,74,2.14,JP,1698212878
218,el dorado,38.7666,-120.5177,13.16,91,20,0.89,US,1698212878
219,bedarieux,43.6155,3.1571,11.81,68,58,1.98,FR,1698212878
220,miri,4.4148,114.0089,31.08,62,40,3.09,MY,1698212878
221,kerikeri,-35.2268,173.9474,20.51,77,65,1.34,NZ,1698212878
222,sodra sandby,56.5667,16.6167,8.83,94,100,8.59,SE,1698212879
223,soio,-6.1349,12.3689,25.47,83,61,2.2,AO,1698212879
224,leitchfield,37.48,-86.2939,15.14,72,74,3.97,US,1698212627
225,arteche,12.2645,125.4048,29.63,72,98,3.07,PH,1698212628
226,constantia,44.1833,28.65,16.5,78,100,7.11,RO,1698212855
227,cidreira,-30.1811,-50.2056,16.62,90,57,4.88,BR,1698212628
228,dongola,19.1667,30.4833,29.4,26,0,5.68,SD,1698212879
229,nabire,-3.3667,135.4833,30.97,59,42,3.09,ID,1698212879
230,eyl,7.9803,49.8164,29.23,68,13,4.16,SO,1698212879
231,chibougamau,49.9168,-74.3659,6.79,100,100,2.57,CA,1698212880
232,elliot lake,46.3834,-82.6331,12.71,99,100,2.41,CA,1698212880
233,saint-felicien,48.6501,-72.4491,9.38,76,100,1.03,CA,1698212880
234,east london,-33.0153,27.9116,18.52,55,0,3.6,ZA,1698212629
235,yuzhno-kurilsk,44.0306,145.8556,13.54,69,17,4.08,RU,1698212880
236,la'ie,21.6477,-157.9253,25.98,74,6,0.45,US,1698212880
237,parwanoo,30.8372,76.9614,27.66,27,0,2.23,IN,1698212880
238,enewetak,11.3474,162.3373,28.77,78,96,7.11,MH,1698212881
239,old town,50.087,14.4202,10.54,97,75,3.6,CZ,1698212881
240,fisterra,42.9049,-9.2629,17.64,83,84,8.52,ES,1698212881
241,kharp,66.8014,65.8081,-7.29,86,99,3.09,RU,1698212630
242,okha,53.5739,142.9478,4.36,57,6,5.54,RU,1698212630
243,tibati,6.4667,12.6333,20.03,81,100,0.79,CM,1698212881
244,itoman,26.1247,127.6694,28.01,67,75,4.63,JP,1698212882
245,margate,51.3813,1.3862,12.72,90,100,2.24,GB,1698212882
246,port saint john's,-31.6229,29.5448,19.46,55,0,3.46,ZA,1698212882
247,lucea,18.451,-78.1736,27.92,78,77,4.37,JM,1698212882
248,st. john's,47.5649,-52.7093,5.64,91,40,6.69,CA,1698212723
249,castillos,-34.1667,-53.8333,10.67,88,68,4.31,UY,1698212631
250,papao,-17.75,-149.55,25.82,75,71,6.2,PF,1698212882
251,alesund,62.4723,6.1549,7.41,92,0,1.54,NO,1698212883
252,ingeniero guillermo n. juarez,-23.9,-61.85,19.76,91,89,4.68,AR,1698212883
253,hadibu,12.65,54.0333,28.28,77,63,5.43,YE,1698212883
254,sitka,57.0531,-135.33,1.94,55,0,2.57,US,1698212883
255,sterling,39.0062,-77.4286,12.84,76,0,2.24,US,1698212646
256,veraval,20.9,70.3667,32.79,40,9,1.82,IN,1698212883
257,sao tome,0.3365,6.7273,26.07,84,100,1.83,ST,1698212632
258,angren,41.0167,70.1436,20.46,23,20,1.03,UZ,1698212884
259,san patricio,28.017,-97.5169,27.14,81,45,6.66,US,1698212884
260,keflavik,64.0049,-22.5624,6.95,81,100,5.66,IS,1698212884
261,san ignacio,17.1561,-89.0714,23.08,100,0,0.0,BZ,1698212884
262,mizdah,31.4451,12.9801,24.02,28,98,1.3,LY,1698212884
263,avarua,-21.2078,-159.775,22.03,60,75,3.09,CK,1698212884
